full_name,instagram_username
Aaliyah Massaid,aaliyah.massaid
Abdul Latief,latief_assegaf
Abdullah Gymnastiar,aagym
Abdul Qodir Jaelani,duljaelani
Abdur Arsyad,abdurarsyad
Abimana Aryasatya,abimana_arya
Aburizal Bakrie,aburizalbakrie.id
Acha Septriasa,septriasaacha
Acha Sinaga,achasinaga
Achmad Megantara,megantaraaa
Addie MS,addiems999
Adam Jordan,jordangigilofficial
Ade Firman Hakim,adefirmanhakim
Aderaprabu Lantip Trengginas,p/BwCIUSgHk7P
Adhisty Zara JKT 48,jkt48.zara
Adi Nugroho,donitabhubiy
Adinda Azani,dindazani
Adipati Dolken,adipati
Aditya Herpavi,explore/tags/adityaherpavi
Adjie Pangestu,adjiepangestu
Adly Fairuz,adlyfairuz
Adyla Rafa Naura Ayu,aku_naura
Afghansyah Reza,afgansyah.reza
Aga Dirgantara,agadirgantara_
Agatha Pricilla,agthpricilla
Agnes Monica,agnezmo
Agus Yudhoyono,agusyudhoyono
Agung Hapsah,agunghapsah
Agung Hercules,agunghercules88
Ahmad Affandy,fandyruby
Ahmad Al Ghazali K,alghazali7
Ahmad Albar,aialbar
Ahmad Jalaluddin Rumi,elelrumi
Akhadi Wira,p/BtyjM50FdYI
Aldi Taher,alditaher.official
Alex Abbad,alexabbad
Aldi Bragi,ririndwiariyanti
Aldy Maldini,aldymldni
Alexandra Gottardo,p/Bv_JknJgQDN
Alfiansyah (Komeng),alfiansyah_komeng
Aliando Syarief,aliandooo
Ali Syakieb,alisyakieb
Alyssa Daguise,alyssadaguise
Alyssa Soebandono,ichasoebandono
Amanda Manopo,amandamanopo
Amanda Rawles,amandarawles
Aming Supriatna,explore/tags/aming
Ananda Omesh,omeshomesh
Anang Hermansyah,ananghijau
Andika Mahesa,babang_andikamahesa
Andhika Pratama,andhiiikapratama
Andi Soraya,andisorayabeatrix
Adinda Thomas,adindathomas
Andini Aisyah,andienaisyah
Andovi da Lopez,andovidalopez
Andra Matin,andramatin
Andre Taulany,andreastaulany
Andrea Hirata,hirataandrea
Andrew White,andrew.white._
Andy F. Noya,p/Bb1G8NEnR_V
Andy Irfan,andy7402
Angela Lee,angelalee87
Angel Karamoy,realangelkaramoy
Angel Lelga,angellelga
Angelina Sondakh,Not Found
Anggun Sasmi,anggun_cipta
Angie Yulia,angie_virgin
Ani Yudhoyono,Not Found
Anies Baswedan,aniesbaswedan
Anindyo Baskoro,ninokayam
Anisa Bahar,explore/tags/anisabahar
Anjana Demira,anjanademira
Annisa Trihapsari,Not Found
Anya Geraldine,anyageraldine
Arafah Rianti,arafahrianti
Ari Lasso,ari_lasso
Ari Sihasale,alenia259/p/BCdJFbjRLvT
Ari Wibowo,ariwibowo_official
Arie Wibowo,ariwibowo_official
Arie Untung,ariekuntung
Arie Dwi Andhika,arie10andika
Ariel Peterpan/Nazril Ilham,ariel_inst
Ariel Tatum,arieltatum
Arifin Putra,arifinputra_
Ario Wahab,p/BcTSbY1luYC
Armand Maulana,armandmaulana04
Arumi Bachsin,arumi_arumi_94
Amien Rais,amienraisofficial
Ashanty Siddik Hasnoputro,p/BiZU299heGh
Ashilla Zee,ashzahrantiara
Asri Welas,asri_welas
Astrid Khairunisha,astridkuya
Astono Handoko,astaandoko
Astrid Tiar,astridtiar127
Atalarik Syah,explore/tags/atalariksyah
Atiqah Hasiholan,atiqahhasiholan
Aurelie Moeremans,aurelie
Aulia Wirizqi,zakiyol_
Ayudia Bing Slamet,ayudiac
Ario Bayu,bayu_ario
Arnold Poernomo,arnoldpo
Aron Ashab,aronashab
Ayushita,ayushita
Ayu Dewi,mrsayudewi
Ayu Hastari,ayuhastari
Ayu Puspa,ayupuspaofficial_15
Ayu Rosmalia (Ayu TingTing),ayutingting92
Andriani Marshanda,marshanda99
Aming Sugandhi,explore/tags/aming
Agustina Hermanto,p/BRVLBIwB6c9
Ahmad Firdaus,ahmadfirdauss
Asmirandah Zantman,asmirandah89
Adinda Rizki Aprilia Azani,dindazani
Arbani Yasiz,arbaniyasiz
Adithya Alkatiri,p/Bcl0e3vBWLT
Andrew Andika,andrewandika
anjasmara Prasetya,anjasmara
Arief Muhammad,ariefmuhammad
Aziz Hayat,jaz_hayat
Adzana Bing Slamet,adzanabs
Aghnia Punjabi,aghniapunjabi
Alvin Faiz,alvin_411
Ammar Zoni,ammarzoni
Amora Lemos,Not Found
Amy Qanita,explore/tags/amyqanita
Angga Aldi Yunanda,anggayunandareal16
Annisa Aziza,anissaaziza
Adi Bing Slamet,adzanabs
Ashry Rizqky Rabbani,ashryrrabani
Anisa Rahma,anisarahma_12
Aura Kasih,aurakasih
Audi Marissa,audimarissa
Augie Fantinus,augiefantinus
Ayana Jihye Moon,xolovelyayana
Ayu Azhari,ayukhadijahazhari
Azriel Hermansyah,azriel_hermansyah
Anthony Sinisuka Ginting,sinisukanthony
Aura Nabilla Izzathi,shaura.nabilla
Alexa Key,alexa_key
Azalia Bianda,Not Found
Ali Akbar,aliakbarpr
Akbar Tandjung,akbartandjung
Ardiansyah Bakrie,ardibakrie
Andrea Dian,andreadianbimo
Andi Mutiara Pertiwi Basro,p/BoGGqFklHeh
Andry Budhiarsa,Not Found
Aubry Beer,aubrybeer
Agla Artalidia,aglaartalidia
Alex Lalisang,alexzulfikarlalisang
Aliff Alli ,aliff_alli
Adian Napitupulu,explore/tags/adiannapitupulu
Arief Pouyono,Not Found
Airlangga Hartarto,airlanggahartarto
Arcandra Tahar,arcandra.tahar
Ayu Gani,ganegani
Andre Rosiade,andre_rosiade
Ayana Shahab,jkt48achan
Ashira Zamitha,ashirazamita
Alya Zurayya,alyaanz
Ali Mochtar,p/BvvTdu9FQrq
Ana Octarina,anaoctarina
Alika Islamadina,alikaislamadina
Agus Gumiwang,jokowi/p/Bm3MSANgb-8
Anis Matta,anismatta_
Asman Abnur,asmanabnur
Amran Sulaiman,p/BK1pSDQjjzS
Ardina Rasti,ardinarasti6
Amel Carla,amelcarla
Andrea Turk,p/BwCK-y4FDdV
Andmesh Kamaleng,andmeshkamaleng_
Ari Irham,ariirhamm
Aqia Nurfadla,aqianr
Aisyah Aqilah,aisyahaqilahh
Athalla Naufal,athallanaufal7
Ashira Zamita,ashirazamita
Arash Buana,arash__buana
Almeyda Nayara,nayaslime18
Azka Cobuzier,azkacorbuzier
Abilhaq Karil,abilhaqreychyta
A ngelica Simperler,all_angelica
Aryani Fitriana,aryanifitriana24
Agni Pratistha,agnipratistha
Ajeng Kartika,ajengkartika
Alice Norin,alicenorin
Aline Adita,aline_adita
Alisia Rininta,alisiarininta22
Aliyah Faizah,aliyah.faizah
Alya Rohali,arohali
Amanda Rigby,amandarigby6
Andania Suri,andsur18
Andhara Early,andharaearly
Abndrea Dian,andreadianbimo
Angel Pieters,angelpieters
Anggika Bolsterli,anggikabolsterli
Anizabella Lesmana,p/BDw8a1JLX47
Anjani Dina,anjaniers
Anneke Jodi,p/BEe-MIrC8yL
Annisa Rawles,annisarawles
Annisa Rawles,Not Found
Andri Mashadi,andrimashadi
Abiel Atan,abielatan
Artika Sari Devi,artikasaridevi
Arzetti Bilbina,Not Found
Asmara Abigail,asmaraabigail
Asti Ananta,astiannt_
Astri Nurdin,endtri2692
Aulia Sarah,owliasarah
Aty Fathiyah,explore/tags/fathiyah
Aulia Ribero,Not Found
Auxilia Paramitha,auxiparamitha
Asha Shara,Not Found
Ayu Pratiwi,ayupratiwi
Angela Gielsha,angelagilsha
Alessia Cestaro,alessia89cestaro
Andhika Wira,skinnyfabs
Abel Cantika,abellyc
Alya Dimitri,ayladimitri
Angga Dwimas Sasongko,anggasasongko
Anggy Umbara,p/BT9FrOEjDNQ
Angga Candra,anggacandraaa
Adinia Wirasti,adiniawrst
Alex Komang,alex_komang
Anwar Fuadi,afuadi
Ayya Renita,ayyarenita93
Alifah Ratu Saelynda,alifahratu
Analisa Widyaningrum,analisa.widyaningrum
Adrian Ishak,andrianishak
Ade Herlina,adeherlinalov
Aliya Rajasa,ruby_26
Ahmad Zaky,achmadzaky
Ario Anindito,p/BdxMmgxF3Fj
Andrew Darwis,adarwis
Anton Wirjono,antonwirjono
Adrian Maulana,adrianmaulana
Ario Pratomo,sheggario
Angie Ang,nonangie
Ardhito Pramono,ardhitopramono
Alexandra Asmasoebrata,Not Found
Andrian Ishak,andrianishak
Annisa Pohan,annisayudhoyono
Achmad Megantara,megantaraaa
Andra Alodita,alodita
Atta Halilintar,attahalilintar
Arif Muhammad (Mak Beti),arifmuhammaddd_
Azaria Bianda Avissa,azaliabiandaavissa
Angela Tee,anqela.tee
Annette Edoarda,annetteedoarda
Arnold Leonard,explore/tags/arnoldleonard
Agatha Suci,agatha_suci
Aurelia Carisa Lestari,Not Found
Arsy Utungga Widianto,arsywidianto
Arya Vasco,explore/tags/aryavasco
Anissa Aziza,anissaaziza
Andriani Toegiono,dorippu
Alwi Sami,alwisami
Angel Lisandi Putri,angellptr
Ajil Ditto,ajil_ditto08
Audrey Singgih,AudreySinggih
Alzi Markers,alzimarkers
Ajeng Fauziah,ajengfazhh_
Alin Fauziah,explore/tags/alinfauziah
Annet Delliecia Nasution,anneth.dlc
Ahmad Abdul,ahmadabdmusic
Apriani rahayu,aprianirahayu_squad
Ayu Putri Sundari,ayuenstar
Agatha Chelsea,agatha_chelsea
Atik Riwayati ( Mpok Atik),atik_mpok
Alif Rizky,alif.rizq
Alya Nurshabrina,alya.nurshabrina
B.J. Habibie,explore/tags/bjhabibie
Babe Cabita,p/5x9dacIDzt
Baim Wong,baimwong
Bambang Reguna,jatengtodaycom/p/BrFg-7hnRR3
Barbie Kumalasari,barbiekumalasari
Barry Prima,realbarryprima
Bayu Oktara,bayuoktara
Bayu Skak,moektito
Bebi Tsabina,bebytsabina
Bedu Tohar,p/BgF7f_tBow9
Bella Saphira,bellasaphiraofficial
Bella Shofie,bellashofie_rigan
Ben Joshua,benjoshua_r
Ben Kasyafani,benkasyafani
Bianca Jodie Maurinne,brisiajodie96
Bianca Liza,bibiancaliza
Billy Syahputra,bilsky16
